,A,B,C,D,E,F,G,H,I,J
A,1,3,7,5,3,3,1,1,1,1
B,3,3,5,7,5,3,3,1,1,1
C,7,5,5,5,7,5,3,3,1,1
D,5,7,5,5,5,7,5,3,3,1
E,3,5,7,5,5,5,7,5,3,3
F,3,3,5,7,5,5,5,7,5,3
G,1,3,3,5,7,5,5,5,7,5
H,1,1,3,3,5,7,5,5,5,7
I,1,1,1,3,3,5,7,5,3,3
J,1,1,1,1,3,3,5,7,3,1
