,A,B,C,D,E,F,G,H,I,J
A,7,7,7,5,5,5,3,3,1,1
B,7,7,7,7,5,5,5,3,3,1
C,7,7,7,7,7,5,5,5,3,3
D,5,7,7,7,7,7,5,5,5,3
E,5,5,7,7,7,7,7,5,5,5
F,5,5,5,7,7,7,7,7,5,5
G,3,5,5,5,7,7,7,7,7,5
H,3,3,5,5,5,7,7,7,7,7
I,1,3,3,5,5,5,7,7,7,7
J,1,1,3,3,5,5,5,7,7,7
